
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000463                       # Number of seconds simulated (Second)
simTicks                                    463199500                       # Number of ticks simulated (Tick)
finalTick                                   463199500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     37.28                       # Real time elapsed on the host (Second)
hostTickRate                                 12423330                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1174132                       # Number of bytes of host memory used (Byte)
simInsts                                       253766                       # Number of instructions simulated (Count)
simOps                                         375006                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     6806                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      10058                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          919331                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              6.540023                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.152905                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         320824                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1698                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        524561                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   298                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               79131                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           130414                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                729                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             610231                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.859611                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.717221                       # Number of insts issued each cycle (Count)
system.cpu1.commitStats0.committedInstType::SimdFloatReduceCmp            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdAes            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdAesMix            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdSha1Hash            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdSha1Hash2            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdSha256Hash            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdSha256Hash2            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdShaSigma2            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdShaSigma3            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdPredAlu            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::Matrix            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::MatrixMov            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::MatrixOP            0      0.00%     25.13% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::MemRead        32250     73.40%     98.54% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::MemWrite          374      0.85%     99.39% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::FloatMemRead            4      0.01%     99.40% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::FloatMemWrite          264      0.60%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::IprAccess            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::InstPrefetch            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdUnitStrideLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdUnitStrideStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdUnitStrideMaskStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdStridedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdStridedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdIndexedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdIndexedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdWholeRegisterLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdWholeRegisterStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdExt            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdFloatExt            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::SimdConfig            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedInstType::total        43935                       # Class of committed instruction. (Count)
system.cpu1.commitStats0.committedControl::IsControl         1772                       # Class of control type instructions committed (Count)
system.cpu1.commitStats0.committedControl::IsDirectControl         1718                       # Class of control type instructions committed (Count)
system.cpu1.commitStats0.committedControl::IsIndirectControl           54                       # Class of control type instructions committed (Count)
system.cpu1.commitStats0.committedControl::IsCondControl         1644                       # Class of control type instructions committed (Count)
system.cpu1.commitStats0.committedControl::IsUncondControl          128                       # Class of control type instructions committed (Count)
system.cpu1.commitStats0.committedControl::IsCall           50                       # Class of control type instructions committed (Count)
system.cpu1.commitStats0.committedControl::IsReturn           49                       # Class of control type instructions committed (Count)
system.cpu1.decode.idleCycles                   13691                       # Number of cycles decode is idle (Cycle)
system.cpu1.decode.blockedCycles               413075                       # Number of cycles decode is blocked (Cycle)
system.cpu1.decode.runCycles                     5091                       # Number of cycles decode is running (Cycle)
system.cpu1.decode.unblockCycles                 5577                       # Number of cycles decode is unblocking (Cycle)
system.cpu1.decode.squashCycles                   736                       # Number of cycles decode is squashing (Cycle)
system.cpu1.decode.branchResolved                2310                       # Number of times decode resolved a branch (Count)
system.cpu1.decode.branchMispred                  100                       # Number of times decode detected a branch misprediction (Count)
system.cpu1.decode.decodedInsts                 74189                       # Number of instructions handled by decode (Count)
system.cpu1.decode.squashedInsts                  502                       # Number of squashed instructions handled by decode (Count)
system.cpu1.executeStats0.numInsts             282958                       # Number of executed instructions (Count)
system.cpu1.executeStats0.numNop                    0                       # Number of nop insts executed (Count)
system.cpu1.executeStats0.numBranches            2589                       # Number of branches executed (Count)
system.cpu1.executeStats0.numLoadInsts         264880                       # Number of load instructions executed (Count)
system.cpu1.executeStats0.numStoreInsts           764                       # Number of stores executed (Count)
system.cpu1.executeStats0.instRate           0.474105                       # Inst execution rate ((Count/Cycle))
system.cpu1.executeStats0.numCCRegReads         11926                       # Number of times the CC registers were read (Count)
system.cpu1.executeStats0.numCCRegWrites         9123                       # Number of times the CC registers were written (Count)
system.cpu1.executeStats0.numFpRegReads           667                       # Number of times the floating registers were read (Count)
system.cpu1.executeStats0.numFpRegWrites          404                       # Number of times the floating registers were written (Count)
system.cpu1.executeStats0.numIntRegReads       282119                       # Number of times the integer registers were read (Count)
system.cpu1.executeStats0.numIntRegWrites        44142                       # Number of times the integer registers were written (Count)
system.cpu1.executeStats0.numMemRefs           265644                       # Number of memory refs (Count)
system.cpu1.executeStats0.numMiscRegReads       270974                       # Number of times the Misc registers were read (Count)
system.cpu1.executeStats0.numMiscRegWrites            1                       # Number of times the Misc registers were written (Count)
system.cpu1.executeStats0.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu1.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu1.fetch.predictedBranches              2958                       # Number of branches that fetch has predicted taken (Count)
system.cpu1.fetch.cycles                       373959                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu1.fetch.squashCycles                   1668                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu1.fetch.miscStallCycles                 823                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu1.fetch.pendingTrapStallCycles          275                       # Number of stall cycles due to pending traps (Cycle)
system.cpu1.fetch.icacheWaitRetryStallCycles        37633                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu1.fetch.cacheLines                    10877                       # Number of cache lines fetched (Count)
system.cpu1.fetch.icacheSquashes                  148                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu1.fetch.nisnDist::samples            438170                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu1.fetch.nisnDist::mean             0.223114                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu1.fetch.nisnDist::stdev            1.195181                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu1.fetch.nisnDist::underflows              0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu1.fetch.nisnDist::0                  420473     95.96%     95.96% # Number of instructions fetched each cycle (Total) (Count)
system.cpu1.fetch.nisnDist::1                     684      0.16%     96.12% # Number of instructions fetched each cycle (Total) (Count)
system.cpu1.fetch.nisnDist::2                    2457      0.56%     96.68% # Number of instructions fetched each cycle (Total) (Count)
system.cpu1.fetch.nisnDist::3                    2069      0.47%     97.15% # Number of instructions fetched each cycle (Total) (Count)
